Date,Open,High,Low,Close,Adj Close,Volume
2012-01-03,178.518158,180.411087,177.820267,178.107071,118.534317,5905716
2012-01-04,177.40918,178.135757,176.806885,177.380493,118.050827,4546648
2012-01-05,176.682602,176.892929,175.047806,176.5392,117.490898,4668403
2012-01-06,176.281067,176.367111,174.292542,174.512421,116.142067,5122367
2012-01-09,174.187378,174.254303,172.342255,173.604202,115.537598,5440455
2012-01-10,175.172089,175.640533,173.231354,173.336517,115.359497,5398406
2012-01-11,172.782028,174.770554,172.562134,174.302109,116.002075,4299897
2012-01-12,173.862335,173.910141,170.53537,172.60994,114.875877,7197526
2012-01-13,171.587006,171.711288,169.550674,171.281067,113.991524,5522043
2012-01-17,172.428299,173.99617,171.434036,172.084137,114.525963,6279556
2012-01-18,171.9216,173.61377,171.606125,173.107071,115.206787,4812228
2012-01-19,173.79541,174.340347,172.418732,172.581268,114.856773,8961291
2012-01-20,177.600388,180.659653,176.625244,180.229446,119.946838,13440786
2012-01-23,179.646271,182.141495,179.416824,181.625244,120.875793,6016278
2012-01-24,180.33461,183.843216,180.229446,183.489487,122.116508,5591602
2012-01-25,182.915863,183.785858,181.271515,183.298279,121.989204,4560246
2012-01-26,183.355637,184.311661,182.093689,182.581268,121.512047,4188916
2012-01-27,181.653915,183.336517,181.462708,182.084137,121.181183,3514978
2012-01-30,181.061188,184.254303,179.942642,184.034424,122.479141,4559514
2012-01-31,184.598465,184.608032,182.600388,184.13002,122.542786,5048833
2012-02-01,184.713196,186.242828,183.94838,184.149139,122.555489,5322885
2012-02-02,184.244736,184.827911,182.915863,183.107071,121.861969,4087036
2012-02-03,184.445511,185.592728,184.072662,185.124283,123.204506,4729698
2012-02-06,184.015289,185.238998,183.556412,184.340347,122.682755,3807231
2012-02-07,183.986618,185.602295,183.527725,184.847031,123.019951,3590918
2012-02-08,184.302109,185.066925,183.298279,184.46463,123.243492,3978775
2012-02-09,184.541107,185.908218,184.082214,184.636703,123.358467,4054714
2012-02-10,183.326965,183.967499,182.868073,183.957932,122.904999,3547091
2012-02-13,184.808792,185.172089,183.307846,184.149139,123.032722,2571905
2012-02-14,183.326965,184.13002,182.437866,183.766724,122.777237,3554413
2012-02-15,183.852768,184.933075,182.848953,183.79541,122.796402,4205861
2012-02-16,184.139572,184.751434,183.556412,184.531555,123.288254,3687673
2012-02-17,185.191208,185.33461,183.843216,184.913956,123.543747,3918839
2012-02-21,185.210327,185.697891,183.99617,184.885284,123.524574,3445106
2012-02-22,184.541107,186.175903,184.273422,185.344162,123.831154,3426487
2012-02-23,185.344162,190.468445,184.780121,188.919693,126.220016,8402204
2012-02-24,189.655838,189.827911,187.963669,189.063095,126.315842,3507447
2012-02-27,188.12619,189.971313,187.476105,188.843216,126.168907,3931286
2012-02-28,189.053543,190.210327,188.747604,189.273422,126.456345,3313100
2012-02-29,189.158707,190.411087,187.810699,188.0784,125.657906,5352487
2012-03-01,188.556412,189.741867,188.269592,188.843216,126.168907,3724074
2012-03-02,188.432129,190.143402,188.393875,190.066925,126.986511,3898860
2012-03-05,189.636703,192.342255,189.579346,191.835571,128.168167,7257148
2012-03-06,190.382416,190.860428,188.154877,188.585083,125.996452,5454576
2012-03-07,189.378586,189.837479,188.632889,189.072662,126.322227,3500857
